,START_X,END_X,START_Y,END_Y
0,5433877.413,5433877.5031,4178081.6535,4178077.9811
1,5431706.1018,5431706.2497,4177918.8142,4177912.1078
2,5393782.8793,5393749.5214,4209527.4499,4209571.1326
3,5393780.9699,5393734.6321,4209523.8233,4209567.5526
4,5349117.0419,5349072.71,4227992.9995,4228038.1874
5,5422681.7169,5422631.8782,4190975.7822,4191029.7721
6,5431707.7565,5431701.8408,4178653.9736,4178664.7022
7,5422451.3869,5422542.9122,4191026.7836,4191003.815
8,5421846.5491,5421833.7536,4191755.7829,4191680.0372
9,5431699.7047,5431708.0225,4178663.5138,4178616.9602
10,5410048.4829,5410048.498,4214317.1363,4214316.5091
11,5433054.4421,5433048.8181,4178714.2781,4178718.6918
12,5349120.2236,5349094.9105,4227994.8524,4228041.3526
13,5422680.6158,5422669.846,4190975.0168,4190980.5309
14,5422683.5058,5422672.7295,4190980.1502,4190985.9432
15,5431706.6885,5431700.7727,4178653.3794,4178664.108
16,5431708.2433,5431726.4058,4178707.6274,4178678.3696
17,5431698.2243,5431700.7727,4178610.4027,4178664.108
18,5420933.0345,5420933.3321,4175152.4092,4175158.3575
19,5423062.341,5423064.2734,4191315.3109,4191308.3883
20,5433149.6211,5433149.7018,4178761.3213,4178757.6428
21,5424555.8914,5424555.9753,4193446.0858,4193442.4028
22,5424544.4153,5424553.7032,4193444.8267,4193446.0356
23,5422657.7351,5422511.9969,4190957.7991,4191092.1937
24,5433131.9375,5433157.7465,4177472.6969,4177417.1421
25,5424437.6632,5424437.8162,4193782.0577,4193775.342
26,5435589.45,5435589.5299,4181008.4929,4181004.8136
27,5433462.8948,5433462.9754,4178830.6263,4178826.9478
28,5349123.1905,5349117.0419,4227982.3465,4227992.9995
29,5431710.9606,5431705.0449,4178655.7563,4178666.485
30,5431731.1088,5431725.3378,4178666.9664,4178677.7754
31,5423135.5287,5423062.341,4191368.0558,4191315.3109
32,5433134.3856,5433147.6618,4178765.5071,4178761.2779
33,5374019.4603,5374019.5608,4188640.5586,4188636.8784
34,5374016.8982,5374018.0113,4188643.5262,4188640.5187
35,5424437.8162,5424437.9001,4193775.342,4193771.6588
36,5432639.3067,5432639.457,4178019.282,4178012.577
37,5427015.5084,5427015.6591,4177710.4007,4177703.6945
38,5422670.2414,5422658.5573,4190955.2535,4190960.7189
39,5422682.929,5422672.1529,4190979.0677,4190984.8607
40,5431705.0449,5431678.0251,4178666.485,4178693.4607
41,5431684.1282,5431722.1337,4178693.5966,4178675.9927
42,5432874.2918,5432931.7195,4177257.5986,4177292.2723
