,START_X,END_X,START_Y,END_Y
0,5433192.4885,5433266.105,4179299.9715,4179340.2444
1,5433756.906,5433900.1906,4179380.5684,4179434.968
2,5435619.7196,5435763.0232,4180087.6436,4180142.0233
3,5436600.3478,5436641.1387,4180466.7669,4180387.9058
4,5436747.8503,5436801.2049,4180227.7881,4180147.7297
5,5437014.6156,5437067.9662,4179827.4988,4179747.4418
6,5437585.503,5437729.609,4179266.8986,4179346.7455
7,5439435.1893,5439414.5275,4180815.3687,4180867.6838
8,5439414.5275,5439382.0548,4180867.6838,4180950.0688
9,5438882.5333,5439026.6584,4179985.4768,4180065.3127
10,5440386.332,5440519.5743,4181894.6075,4181944.6252
11,5441718.8114,5441852.0662,4182394.7235,4182444.7277
12,5370343.4103,5370361.9915,4219378.0754,4219449.7331
13,5370417.3719,5370435.7718,4219665.226,4219737.1442
14,5370527.7742,5370546.1752,4220096.7415,4220168.6623
15,5370841.6672,5370870.7377,4221009.5484,4221078.3034
16,5352030.5238,5351961.5359,4223239.6829,4223237.2214
17,5388588.4163,5388504.335,4193254.0352,4193224.2349
18,5388084.6345,5388001.2548,4193074.9979,4193044.9672
19,5435604.4387,5435601.6509,4175451.2353,4175495.3246
20,5435497.9779,5435461.6311,4175490.6019,4175533.9562
21,5435461.6311,5435439.7985,4175533.9562,4175527.346
22,5434572.3364,5434633.1424,4180441.7163,4180476.304
23,5435253.6254,5435325.1633,4180831.0994,4180869.4784
24,5435635.7544,5435664.2828,4175470.9299,4175534.7138
25,5435437.6731,5435390.8954,4175962.6801,4176045.8718
26,5435344.117,5435297.3377,4176129.0636,4176212.256
27,5434314.2808,5434271.8421,4177820.0059,4177892.2931
28,5434186.9629,5434144.5226,4178036.8685,4178109.1568
29,5433932.3119,5433889.868,4178470.6015,4178542.8913
30,5433721.138,5433679.0415,4178830.8668,4178902.7624
31,5433426.4516,5433384.3514,4179334.1424,4179406.0401
32,5433570.6862,5433625.0036,4179876.3593,4179905.7773
33,5433913.0629,5433970.6758,4180067.7969,4180100.2003
34,5352075.518,5352088.1006,4223654.3717,4223601.7931
35,5350186.5833,5350196.0146,4226954.257,4226884.3258
36,5350460.626,5350513.5463,4226530.2282,4226459.4092
37,5353093.6473,5353121.1288,4220269.6463,4220193.5175
38,5353565.1264,5353597.7842,4219151.7813,4219086.6107
39,5353630.4414,5353663.0983,4219021.4403,4218956.2701
40,5353862.6209,5353897.07,4218560.5862,4218493.0836
41,5424503.9636,5424460.61,4193824.1173,4193767.8445
42,5432115.2036,5432103.1057,4178472.5604,4178467.3849
43,5356140.9229,5356181.9565,4214123.8126,4214060.5861
44,5356387.1169,5356428.1475,4213744.4558,4213681.2303
45,5356632.8679,5356673.47,4213364.4217,4213300.5137
46,5433115.7273,5433203.809,4179625.8352,4179619.1964
47,5433341.9741,5433397.6907,4179745.9188,4179778.3129
48,5355056.6204,5355090.3198,4216184.214,4216117.0726
49,5355658.2327,5355691.3787,4214989.5612,4214923.9636
50,5355428.434,5355340.7869,4214829.1247,4214797.5106
51,5354732.949,5354650.9832,4214578.9467,4214550.079
52,5353853.8342,5353783.1158,4214212.997,4214159.9354
53,5388672.4981,5388588.4163,4193283.8349,4193254.0352
54,5354648.7516,5354682.8004,4216999.7141,4216931.5912
55,5353570.9644,5353500.2487,4214000.7499,4213947.6877
56,5351898.3846,5351835.2331,4223258.5646,4223279.9074
57,5355893.2074,5355926.2958,4214545.564,4214484.1911
58,5356917.0729,5356957.6718,4212917.0697,4212853.1631
59,5424833.3815,5424804.2657,4192925.0786,4192967.353
60,5351693.789,5351743.4946,4224753.5622,4224686.3576
61,5351743.4946,5351773.0555,4224686.3576,4224609.0328
62,5351773.0555,5351802.616,4224609.0328,4224531.7084
63,5365299.5971,5365230.0836,4219340.4659,4219382.5968
64,5364481.2642,5364399.2902,4219709.0006,4219699.2721
65,5364476.7103,5364434.5831,4220052.5877,4220133.6217
66,5370194.7683,5370213.3477,4218804.8302,4218876.4843
67,5364143.4887,5364117.7357,4224287.8851,4224362.7215
68,5436254.3529,5436314.2326,4181384.3646,4181417.0854
69,5436553.7551,5436613.6366,4181547.9666,4181580.6863
70,5436919.0645,5436984.9632,4181748.5851,4181785.6067
71,5437314.4636,5437380.365,4181970.711,4182007.7311
72,5437913.0708,5437979.8893,4182299.0932,4182335.3127
73,5438113.5277,5438180.3475,4182407.7509,4182443.9695
74,5370986.0909,5371014.2313,4221352.7696,4221420.9688
75,5371098.6543,5371126.796,4221625.5684,4221693.7691
76,5371311.1186,5371353.7989,4222007.6524,4222066.8131
77,5371609.8902,5371652.5736,4222421.7807,4222480.9427
78,5372138.1807,5372191.2016,4223130.4344,4223183.9702
79,5372456.3142,5372509.3383,4223451.6493,4223505.1852
80,5363970.8504,5363934.6933,4221025.6695,4221095.2239
81,5438383.4247,5438452.8614,4182554.1124,4182591.8184
82,5438452.8614,5438522.2986,4182591.8184,4182629.524
83,5439354.2252,5439424.9903,4183092.3716,4183129.4884
84,5439919.253,5439989.4689,4183398.6009,4183440.367
