,START_X,END_X,START_Y,END_Y
0,5349438.7249,5349439.2195,4228251.9147,4228251.224
1,5433102.5901,5433102.1665,4177382.3237,4177382.0879
2,5414958.9926,5414953.6257,4205503.9007,4205504.5541
3,5374110.5692,5374112.0281,4247151.017,4247147.1477
4,5416405.2367,5416407.2275,4201495.3513,4201493.2795
5,5426723.9358,5426723.4855,4195608.8585,4195608.25
6,5421778.8943,5421779.5383,4186207.792,4186207.4677
7,5385902.7079,5385902.0425,4193022.3946,4193023.2799
8,5428568.2423,5428567.3493,4175948.6581,4175948.0164
9,5421606.7634,5421607.8166,4199142.3885,4199142.6138
10,5431027.9302,5431027.8626,4184617.9373,4184617.3144
11,5432730.008,5432729.7033,4177738.6228,4177739.1501
12,5433318.1458,5433318.6875,4178558.0941,4178557.3505
13,5430823.9419,5430823.7384,4189493.5339,4189492.6756
14,5429249.2707,5429249.2539,4192541.642,4192540.8138
15,5377211.8811,5377211.4368,4195305.8836,4195306.4546
16,5428716.5882,5428717.7314,4192412.9421,4192412.8777
17,5424819.6522,5424823.8852,4175120.3697,4175119.6746
18,5423516.3301,5423516.148,4190013.6605,4190012.7998
19,5365594.8458,5365593.7478,4194236.1183,4194236.0822
20,5372556.3603,5372555.6599,4186627.4251,4186626.8865
21,5365663.1057,5365662.292,4194134.1111,4194133.4908
22,5372264.5241,5372264.9578,4187680.8586,4187680.3826
23,5407145.8129,5407144.4567,4192359.3351,4192357.7732
24,5422063.9059,5422064.1271,4175846.7873,4175845.9479
25,5422893.8738,5422894.0012,4176498.7874,4176498.0726
26,5422631.8809,5422631.9116,4175247.9446,4175247.2944
27,5418770.1331,5418770.3015,4172418.9387,4172419.9013
28,5424226.0938,5424225.8849,4172093.5987,4172094.0971
29,5426679.8312,5426680.1751,4174576.3455,4174577.316
30,5426961.5364,5426961.8275,4175947.6636,4175947.1245
31,5428473.6427,5428473.5942,4176029.6786,4176030.6709
32,5427566.8363,5427566.5697,4176757.5806,4176758.4918
33,5427256.5874,5427256.1821,4177904.7661,4177904.476
34,5428497.0805,5428497.7202,4181574.0787,4181574.3423
35,5421560.3713,5421561.0574,4187350.7987,4187350.3258
36,5432019.6944,5432019.1901,4184691.6009,4184692.3214
37,5377134.3255,5377134.9757,4205316.5124,4205316.5732
38,5433198.0986,5433198.136,4186227.5642,4186228.5477
39,5424959.6693,5424960.3409,4177795.8867,4177795.9386
40,5366231.0239,5366231.7865,4194336.7865,4194336.9992
41,5379291.4763,5379291.8517,4222622.8272,4222621.9964
42,5377855.2016,5377854.8667,4219483.3461,4219482.9649
43,5397300.7954,5397300.613,4181662.7247,4181661.7185
44,5390066.463,5390066.717,4193782.3794,4193781.5268
45,5370206.7168,5370202.6622,4217993.6143,4217988.1009
46,5380389.9726,5380389.095,4233406.1653,4233406.492
47,5428828.4119,5428828.1931,4199017.6694,4199016.9637
48,5426943.1038,5426943.8292,4193900.7628,4193901.1608
49,5423314.723,5423314.1461,4191415.906,4191416.3899
50,5427491.2,5427491.6994,4174323.7255,4174323.6468
51,5385493.1137,5385493.2993,4192752.2739,4192751.771
52,5430951.268,5430951.9183,4172802.6617,4172801.9668
53,5430611.4126,5430611.3507,4172759.4559,4172759.9015
54,5409080.6569,5409081.2082,4215033.7221,4215034.3037
55,5370455.3242,5370455.3176,4185923.401,4185922.5228
56,5381719.5453,5381721.6346,4194819.7506,4194821.3841
57,5382243.9597,5382243.7598,4194686.0284,4194686.2379
58,5383350.4989,5383354.8757,4184850.7095,4184848.5877
59,5415146.6522,5415141.3281,4217276.4008,4217276.5158
60,5431332.7992,5431332.5812,4182678.727,4182682.2653
61,5413396.3416,5413392.5344,4195028.1852,4195030.2212
62,5390334.0919,5390333.7183,4182950.1362,4182949.3849
63,5375751.9692,5375751.9045,4206203.4081,4206204.1648
64,5361434.3584,5361434.9473,4213947.5977,4213951.4038
65,5373880.8281,5373877.115,4196197.5261,4196200.4534
66,5382921.8348,5382923.205,4222495.8268,4222497.8063
67,5385884.2809,5385884.5272,4193425.8974,4193426.7234
68,5390302.7479,5390299.3163,4240167.7804,4240162.8823
69,5427916.168,5427916.1494,4177006.6713,4177010.7776
70,5428360.5686,5428360.2234,4177274.7901,4177275.8487
71,5371556.7639,5371561.1451,4198236.6203,4198233.9315
72,5426322.569,5426323.0518,4175438.5771,4175437.9738
73,5421218.1354,5421218.6918,4175302.3158,4175302.804
74,5409983.9708,5409985.5963,4214923.1161,4214924.726
75,5405233.2976,5405227.1024,4195992.1264,4195994.1785
76,5407005.2334,5407005.1022,4196516.7052,4196516.2636
77,5413562.4549,5413561.5513,4205991.1819,4205991.8047
78,5377666.2438,5377671.0622,4205271.5883,4205269.1411
79,5425204.4878,5425205.6534,4191369.1492,4191367.3402
80,5414100.2181,5414102.7516,4203506.4435,4203503.0942
81,5402946.3832,5402946.903,4215036.3582,4215039.8089
82,5429578.6029,5429574.1029,4192117.7717,4192116.9682
83,5404024.2361,5404027.8576,4192925.508,4192927.8235
84,5433115.784,5433113.3122,4178409.8471,4178409.3514
85,5398519.2275,5398514.5133,4198591.8643,4198591.3762
